city,timestamp,temperature,season
New York,2010-01-01,0.002299751584626002,winter
New York,2010-01-02,1.0314074329506984,winter
New York,2010-01-03,2.634407492663043,winter
New York,2010-01-04,1.9534723731896573,winter
New York,2010-01-05,1.9023196771561892,winter
New York,2010-01-06,0.4559616218508164,winter
New York,2010-01-07,2.964133784653154,winter
New York,2010-01-08,-3.6736390434339667,winter
New York,2010-01-09,-2.1999205568409588,winter
New York,2010-01-10,5.043886928615088,winter
New York,2010-01-11,-2.831768201483629,winter
New York,2010-01-12,-4.32590152314994,winter
New York,2010-01-13,-5.988724820378569,winter
New York,2010-01-14,-4.519290221613547,winter
New York,2010-01-15,-5.007801336835458,winter
New York,2010-01-16,-1.3141689749385896,winter
New York,2010-01-17,2.7861824557954473,winter
New York,2010-01-18,-1.9048218398343855,winter
New York,2010-01-19,-4.481206126204059,winter
New York,2010-01-20,-6.689385773557735,winter
New York,2010-01-21,-15.071061728942507,winter
New York,2010-01-22,-4.01856227277077,winter
New York,2010-01-23,-0.055799620169014866,winter
New York,2010-01-24,-3.0838980991364275,winter
New York,2010-01-25,-1.5178692455088003,winter
New York,2010-01-26,-0.6760867921156173,winter
New York,2010-01-27,-4.759045322051368,winter
New York,2010-01-28,8.834585226050676,winter
New York,2010-01-29,9.899621351382393,winter
New York,2010-01-30,-1.3841450030304248,winter
New York,2010-01-31,8.453180650089964,winter
New York,2010-02-01,-9.06608541578844,winter
New York,2010-02-02,3.2522459407137605,winter
New York,2010-02-03,-6.630629368767998,winter
New York,2010-02-04,-1.7581637887783637,winter
New York,2010-02-05,1.030643894496118,winter
New York,2010-02-06,8.613103000300077,winter
New York,2010-02-07,-4.812509388574518,winter
New York,2010-02-08,2.6770089830255794,winter
New York,2010-02-09,-3.0788725174841716,winter
New York,2010-02-10,6.996293928199947,winter
New York,2010-02-11,-0.45418501400103667,winter
New York,2010-02-12,-2.5715365053628187,winter
New York,2010-02-13,-0.9989082496324618,winter
New York,2010-02-14,-3.3565845060181827,winter
